byma_code,ratio,ratio_calculated
BCS,1:1,1.0
B,2:1,2.0
BAS,2:1,2.0
BAYN,3:1,3.0
BRKB,22:1,22.0
BHP,2:1,2.0
BBV,1:1,1.0
BIOX,1:1,1.0
BIIB,13:1,13.0
BITF,1:5,0.2
BMNR,8:1,8.0
BB,3:1,3.0
BX,30:1,30.0
BKNG,700:,700.0
BP,5:1,5.0
LND,1:1,1.0
BAK,2:1,2.0
BRFS,1:3,0.3333333333333333
BMY,3:1,3.0
AVGO,39:1,39.0
BNG,5:1,5.0
AI,5:1,5.0
CAJ,2:1,2.0
CAH,3:1,3.0
CCL,3:1,3.0
CAT,20:1,20.0
CLS,20:1,20.0
CX,1:1,1.0
EBR,1:4,0.25
SCHW,13:1,13.0
CVX,16:1,16.0
LFC,2:1,2.0
SNP,3:1,3.0
SBSP3,1:1,1.0
CSCO,5:1,5.0
C,3:1,3.0
KOFM,2:1,2.0
CDE,1:1,1.0
COIN,27:1,27.0
CL,3:1,3.0
CBRD,1:1,1.0
ELP,1:3,0.3333333333333333
SID,1:8,0.125
CSNA3,1:1,1.0
CEG,45:1,45.0
CRWV,27:1,27.0
GLW,4:1,4.0
CAAP,1:4,0.25
COST,48:1,48.0
CS,1:1,1.0
CVS,15:1,15.0
DHR,54:1,54.0
BSN,20:1,20.0
DECK,25:1,25.0
DE,40:1,40.0
DAL,8:1,8.0
DTEA,3:1,3.0
DEO,6:1,6.0
SPXL,25:1,25.0
DOCU,22:1,22.0
DOW,6:1,6.0
DD,5:1,5.0
EOAN,6:1,6.0
EBAY,2:1,2.0
ECL,56:1,56.0
EA,14:1,14.0
LLY,56:1,56.0
AKO.B,1:1,1.0
ERJ,1:1,1.0
XLE,2:1,2.0
E,4:1,4.0
EFX,16:1,16.0
EQNR,6:1,6.0
GLD,50:1,50.0
ETSY,16:1,16.0
XOM,10:1,10.0
FNMA,1:1,1.0
FDX,10:1,10.0
RACE,83:1,83.0
XLF,2:1,2.0
FSLR,18:1,18.0
XLU,10:1,10.0
FMX,6:1,6.0
F,1:1,1.0
FMCC,1:1,1.0
FCX,3:1,3.0
GRMN,3:1,3.0
GE,8:1,8.0
GM,6:1,6.0
GPRK,1:1,1.0
GGB,1:4,0.25
GILD,4:1,4.0
COPX,14:1,14.0
URA,5:1,5.0
GLOB,18:1,18.0
GFI,1:1,1.0
GT,2:1,2.0
PAC,16:1,16.0
ASR,20:1,20.0
TV,3:1,3.0
GSK,4:1,4.0
HAL,2:1,2.0
HAPV3,1:1,1.0
HOG,3:1,3.0
HMY,1:1,1.0
HDB,2:1,2.0
HL,1:1,1.0
HMC,1:1,1.0
HON,8:1,8.0
HWM,1:1,1.0
HPQ,1:1,1.0
HSBC,2:1,2.0
HNPIY,1:1,1.0
HUT,1:5,0.2
IBN,1:1,1.0
INFY,1:1,1.0
ING,3:1,3.0
INTC,5:1,5.0
IBM,15:1,15.0
IFF,12:1,12.0
IP,4:1,4.0
ISRG,90:1,90.0
QQQ,20:1,20.0
VXX,5:1,5.0
IREN,12:1,12.0
IBIT,10:1,10.0
IEMG,12:1,12.0
IEUR,11:1,11.0
IWDA,24:1,24.0
IVV,692:,692.0
IJH,12:1,12.0
ESGU,30:1,30.0
ETHA,5:1,5.0
ILF,6:1,6.0
ACWI,26:1,26.0
EWZ,2:1,2.0
EFA,18:1,18.0
EEM,5:01,5.0
EWJ,14:1,14.0
IBB,27:1,27.0
IVW,20:1,20.0
IVE,40:1,40.0
SLV,6:1,6.0
IWM,10:1,10.0
ITA,50:1,50.0
ITUB,1:1,1.0
JPM,15:1,15.0
JD,4:1,4.0
JNJ,15:1,15.0
JCI,2:1,2.0
UN,2:1,2.0
NUE,16:1,16.0
NVDA,24:1,24.0
OXY,5:1,5.0
OKLO,28:1,28.0
ORCL,3:1,3.0
ORAN,1:1,1.0
ORLY,222:,222.0
PCAR,3:1,3.0
PAGS,3:1,3.0
PLTR,3:1,3.0
PANW,50:1,50.0
PAAS,3:1,3.0
PCRF,2:1,2.0
PYPL,8:1,8.0
PDD,25:1,25.0
PSO,1:1,1.0
PEP,18:1,18.0
PRIO3,2:1,2.0
PETR3,1:1,1.0
PBR,1:1,1.0
PTR,4:1,4.0
PFE,4:1,4.0
PM,18:1,18.0
PSX,6:1,6.0
PINS,7:1,7.0
PBI,1:1,1.0
PKS,3:1,3.0
PG,15:1,15.0
SH,8:1,8.0
PSQ,8:1,8.0
TQQQ,25:1,25.0
QCOM,11:1,11.0
RTX,5:1,5.0
RGTI,2:1,2.0
RIO,8:1,8.0
RIOT,3:1,3.0
HOOD,29:1,29.0
RBLX,2:1,2.0
RKLB,12:1,12.0
ROKU,13:1,13.0
ROST,4:1,4.0
SHEL,2:1,2.0
SPGI,45:1,45.0
CRM,18:1,18.0
XLRE,9:1,9.0
XLK,46:1,46.0
TRVV,6:1,6.0
DISN,12:1,12.0
TMO,22:1,22.0
TIMB,1:1,1.0
TIMS3,01:01,1.0
TJX,22:1,22.0
TMUS,33:1,33.0
TTE,3:1,3.0
TM,15:1,15.0
TCOM,2:1,2.0
TRIP,2:1,2.0
TWLO,36:1,36.0
